Avengers: Age of Ultron,2015-04-22,365000000,"Robert Downey Jr., Tony Stark / Iron Man, Chris Hemsworth, Thor Odinson, Mark Ruffalo, Bruce Banner / The Hulk, Chris Evans, Steve Rogers / Captain America, Scarlett Johansson, Natasha Romanoff / Black Widow, Jeremy Renner, Clint Barton / Hawkeye, James Spader, Ultron (voice), Samuel L. Jackson, Nick Fury, Don Cheadle, James ""Rhodey"" Rhodes / War Machine","Action, Adventure, Science Fiction",7.276
Captain America: Civil War,2016-04-27,250000000,"Chris Evans, Steve Rogers / Captain America, Robert Downey Jr., Tony Stark / Iron Man, Scarlett Johansson, Natasha Romanoff / Black Widow, Sebastian Stan, James 'Bucky' Barnes / Winter Soldier, Anthony Mackie, Sam Wilson / Falcon, Don Cheadle, Lieutenant James 'Rhodey' Rhodes / War Machine, Jeremy Renner, Clint Barton / Hawkeye, Chadwick Boseman, T'Challa / Black Panther, Paul Bettany, Vision","Adventure, Action, Science Fiction",7.4
The Dark Knight Rises,2012-07-17,250000000,"Christian Bale, Bruce Wayne / Batman, Michael Caine, Alfred Pennyworth, Gary Oldman, James Gordon, Anne Hathaway, Selina Kyle / Catwoman, Tom Hardy, Bane, Marion Cotillard, Miranda Tate / Talia al Ghul, Joseph Gordon-Levitt, John Blake, Morgan Freeman, Lucius Fox, Matthew Modine, Peter Foley","Action, Crime, Drama, Thriller",7.777
Iron Man 3,2013-04-18,200000000,"Robert Downey Jr., Tony Stark / Iron Man, Gwyneth Paltrow, Virginia 'Pepper' Potts, Don Cheadle, James 'Rhodey' Rhodes / Iron Patriot, Guy Pearce, Aldrich Killian / The Mandarin, Rebecca Hall, Maya Hansen, Jon Favreau, Harold 'Happy' Hogan, Ben Kingsley, Trevor Slattery / The Mandarin, Stephanie Szostak, Brandt, James Badge Dale, Savin","Action, Adventure, Science Fiction",6.928
Black Panther,2018-02-13,200000000,"Chadwick Boseman, King T'Challa / Black Panther, Michael B. Jordan, N'Jadaka / Erik 'Killmonger' Stevens, Lupita Nyong'o, Nakia, Danai Gurira, Okoye, Martin Freeman, Everett K. Ross, Daniel Kaluuya, W'Kabi, Letitia Wright, Shuri, Winston Duke, M'Baku, Sterling K. Brown, N'Jobu","Action, Adventure, Science Fiction",7.39
Doctor Strange,2016-10-25,180000000,"Benedict Cumberbatch, Stephen Strange / Doctor Strange, Chiwetel Ejiofor, Karl Mordo, Rachel McAdams, Dr. Christine Palmer, Benedict Wong, Wong, Mads Mikkelsen, Kaecilius, Tilda Swinton, The Ancient One, Michael Stuhlbarg, Dr. Nicodemus West, Benjamin Bratt, Jonathan Pangborn, Scott Adkins, Lucian / Strong Zealot","Action, Adventure, Fantasy",7.427
Mad Max: Fury Road,2015-05-13,150000000,"Tom Hardy, Max Rockatansky, Charlize Theron, Imperator Furiosa, Nicholas Hoult, Nux, Hugh Keays-Byrne, Immortan Joe, Riley Keough, Capable, Zoë Kravitz, Toast the Knowing, Rosie Huntington-Whiteley, The Splendid Angharad, Abbey Lee, The Dag, Courtney Eaton, Cheedo the Fragile","Action, Adventure, Science Fiction",7.582
Inglourious Basterds,2009-08-19,70000000,"Brad Pitt, First Lieutenant Aldo ""The Apache"" Raine, Mélanie Laurent, Shosanna Dreyfus / Emmanuelle Mimieux, Christoph Waltz, SS Colonel Hans ""The Jew Hunter"" Landa, Eli Roth, Staff Sergeant Donny ""The Bear Jew"" Donowitz, Michael Fassbender, Lieutenant Archie Hicox, Diane Kruger, Bridget von Hammersmark, Daniel Brühl, Private First Class Fredrick Zoller, Til Schweiger, Sergeant Hugo Stiglitz, Gedeon Burkhard, Corporal Wilhelm Wicki","Drama, Thriller, War",8.215
The Hunger Games,2012-03-12,75000000,"Jennifer Lawrence, Katniss Everdeen, Josh Hutcherson, Peeta Mellark, Liam Hemsworth, Gale Hawthorne, Woody Harrelson, Haymitch Abernathy, Elizabeth Banks, Effie Trinket, Lenny Kravitz, Cinna, Stanley Tucci, Caesar Flickerman, Donald Sutherland, President Snow, Wes Bentley, Seneca Crane","Science Fiction, Adventure, Fantasy",7.193
Spider-Man: Homecoming,2017-07-05,175000000,"Tom Holland, Peter Parker / Spider-Man, Michael Keaton, Adrian Toomes / Vulture, Robert Downey Jr., Tony Stark / Iron Man, Marisa Tomei, May Parker, Jon Favreau, Harold 'Happy' Hogan, Gwyneth Paltrow, Virginia 'Pepper' Potts, Zendaya, Michelle 'MJ' Jones, Donald Glover, Aaron Davis, Jacob Batalon, Ned","Action, Adventure, Science Fiction, Drama",7.345
